raw institutional statement,interpretation,attribute,attribute_property,deontic,aim,direct_object,direct_object_property,indirect_object,ac_condition,ex_constraint
Incubator Policy,,,,,,,,,,
podling reporting,,,,,,,,,,
each podling in incubation must report to the incubator pmc,,podling,each,must,report,ipmc,,,[always] ,
"podlings shall report monthly for their first three months, after that quarterly.",,podling,,shall,report,[ipmc],,,,monthly for their first three months
"the incubator pmc may, at their discretion, ask a podlings to report more frequently.",,ipmc,,may,ask to report,podling,,,at their discretion,
"the ppmc with the mentor(s) help, must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered.",,ppmc,,must,produce,report ,,for the pmc,,detailing overall progress toward graduation and any issues the podling has encountered.
website,,,,,,,,,,
there are restrictions on where podlings can host their websites and what branding they can use on them.,,podlings,,[cannot],host,their websites,,,,[without restrictions]
,,podlings,,[cannot],use,branding,,,,[without restrictions]
branding,,,,,,,,,,
there are restrictions about how podlings can use their own and other asf brands and names.,,podlings,,[cannot],use,brands and names,their own,,,[without restrictions]
,,podlings,,[cannot],use,brands and names,asf's,,,[without restrictions]
publicity,,,,,,,,,,
"there are some restrictions about how podlings can advertise themselves, especially in press releases related to podlings.",,podlings,,[cannot],advertise,themselves,,,in press releases related to podlings,[without restrictions]
disclaimers,,,,,,,,,,
"podling web sites must include a clear disclaimer on their website and in all documentation, releases and release announcements stating that they are in incubation.",,websites,podling's,must,include,disclaimer,clear,,stating that they are in incubation,
,,documentation,podling's,must,include,disclaimer,clear,,stating that they are in incubation,
,,releases,podling's,must,include,disclaimer,clear,,stating that they are in incubation,
,,release announcements,podling's,must,include,disclaimer,clear,,stating that they are in incubation,
a podling has a choice of two disclaimers: a standard disclaimer or a work-in-progress disclaimer.,,podling,,[may],choose,of two disclaimers,standard or a work-in-progress,,,
podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use.,,podlings,,must,have ,approval,,ipmc,[when] wishing to use a different disclaimer message,before use it
standard disclaimer,,,,,,,,,,
podlings wanting to follow all asf policy on releases should use the following text for all disclaimers (replace the underlined text as appropriate):,,podling,,should ,use,the following text ,,,[when] wanting to follow all asf policy on releases,for all disclaimers
"apache podling-name is an effort undergoing incubation at the apache software foundation (asf), sponsored by the name of apache tlp sponsor .",,,,,,,,,,
"incubation is required of all newly accepted projects until a further review indicates that the infrastructure, communications, and decision making process have stabilized in a manner consistent with other successful asf projects.",,projects,newly accepted,[shall],[have],incubation,,,"until a further review indicates that the infrastructure, communications, and decision making process have stabilized in a manner consistent with other successful asf projects.",
"while incubation status is not necessarily a reflection of the completeness or stability of the code, it does indicate that the project has yet to be fully endorsed by the asf.",,,,,,,,,,
"for releases, the text should be included in a separate disclaimer file stored alongside the notice and license files.",,[podling],,should,include,text,,,for releases,in a separate disclaimer file stored alongside the notice and license files.
work in progress disclaimer,,,,,,,,,,
